Lyric,Idiom,Number_of_words
"[ Iris DeMent ]. . [ From her debut album: Infamous Angel ]. Chorus:. Everybody's wondering what and where they all came from. Everybody's worrying 'bout where they're gonna go. When the whole thing's done. Nobody knows for certain,. And so it's all the same to me. I Think I'll just let the mystery be. Some say once gone, you're gone forever. Some say you're gonna come back. Some say you rest in the arms of the Savior. if in sinful ways you lack. Some say that they're comin' back in a garden. Bunch of carrots and little sweet peas. I Think I'll just let the mystery be. Some say they're going to place called Glory. And I ain't sayin' it ain't a fact. But I've heard that I'm on the road to purgatory. And I don't like the sound of that. I believe in love and I live my life accordingly. But I choose to let the mystery be.",ENGLISH,160
"The color of the sky as far as I can see is coal grey.. Lift my head from the pillow and then fall again.. With a shiver in my bones just thinking about the weather.. A quiver in my lips as if I might cry.. Well by the force of will my lungs are filled and so I breathe.. Lately it seems this big bed is where I never leave.. Shiver in my bones just thinking about the weather.. Quiver in my voice as I cry,. ""What a cold and rainy day. Where on earth is the sun hid away."". I hear the sound of a noon bell chime. Now I'm far behind.. You've put in 'bout half a day while here I lie. with a shiver in my bones just thinking about the weather.. A quiver in my lip as if I might cry,. ""What a cold and rainy day. Where on earth is the sun hid away?"". Do I need someone here to scold me. or do I need someone who'll grab and pull me out of this. four poster dull torpor pulling downward.. For it is such a long time since my better days.. I say my prayers nightly this will pass away.. The color of the sky is grey as I can see through the blinds.. Lift my head from the pillow and then fall again. with a shiver in my bones just thinking about the weather.. A quiver in my voice as I cry,. ""What a cold and rainy day. Where on earth is the sun hid away?"". I shiver, quiver, and try to wake..",ENGLISH,270
come as we go far away. from the noise of the street. walk a path so narrow. to a place where we feel at ease. some think it is haunting. to be drawn to the cemetery ground. as we. there's a stillness here. thankful found. child's pose angelic. a stone lamb at her feet. part the matted overgrowth. to read the carven elegy. some think it so haunting. to be drawn to the cemetery ground. as we. there's a stillness here. thankful found. born in New Albion. of Rice family elite. wed to Myron Bilowe. thrice with sons. blessed was she. some think it so haunting. to be drawn to the cemetery ground. as we. God's acre is a fenced in. hollow ground. here soon to rise up. Amelia tender and sweet. her last words spoke. all is well. all is peace. some think it so haunting. to be drawn to the cemetery ground. as we. God's acre is a fenced in. hollow ground,ENGLISH,164
"The sky was falling, heaven was calling.. When danger crashes, rose from the ashes.. Like two statues hidden inside ancient rock,. We were praying for the secrets to unlock.. And when the sun had turned its back on us,. In the dark our love kept track of us,. Pushed together by the lack of love.. We held each other tightly through our hell of dreams.. I still hear the never-ending echo of those screams.. But it's a life not made for reliving,. Its a life that makes your soul forgiving.. We sealed our bond from the beginning.. Aching, affection, vulnerable protection;. Falling, captured, crawling, rapture..",ENGLISH,105
"the legs of Maddox kitchen tables. my whole life twisted on a lathe. in a foreman's torrent. my first English was. ""faster boy if you want your pay"". barking commands. loud and simple. we could all obey. then I was forever pulling silvers. rubbed the sawdust always. deeper in my eye. varnish vapor that could linger. on my skin. it held tight. the whine of spinning blades. still echoes to bother my sleep at night. see that ox. stamped dead center. on the letter head of the company mail. four decades a spitting image. of the animal I portrayed. at Maddox Table a yoke was carved. for my neck. sun through the window oil spattered. and in mason jars. tricked plenty seeds thrive. the standing joke. around the shop was. with my green thumb. anything'd grow. my part was to laugh. show and ornery jig had. cut it at the knuckle bone. see that ox. trade mark burned. into every stick of furniture. from horn to tail. four decades a spitting image. of the animal I portrayed. at Maddox Table a yoke was carved. for my neck. was tailor made. o my Dolly was a weak. not a burdened girl. treat her to a piece of vaudville. a Wintergarden moving picture show. Bemus Point on July Sundays. by trolley we'd go. to your benefit we's strike or bargain. with the waving fist a union man. not just for. smokes spirits candy and cologne. but for. automobile keys. cash in the bank. and the deed. on a place called home",ENGLISH,259
I could feel at the time. There was no way of knowing. Fallen leaves in the night. Who can say where they're blowing. As free as the wind. Hopefully learning. Why the sea on the tide. Has no way of turning. More than this. You know there's nothing. More than this. Tell me one thing. More than this. You know there's nothing. It was fun for a while. There was no way of knowing. Like a dream in the night. Who can say where we're going. No care in the world. Maybe I'm learning. Why the sea on the tide. Has no way of turning. More than this. You know there's nothing. More than this. Tell me one thing. More than this. You know there's nothing. More than this. You know there's nothing. More than this. Tell me one thing. More than this. There's nothing.,ENGLISH,145
she borders the pavement. flanks avenues. the parades pass. white glove attended by. my mother the war. she'll raise a shaft. lift a banner. toss a rose. my mother the war. she knows every neighbor. chats at their doors. compare. econosize electric appliances. come share tea. and a seat by my. cradle with. my mother the war. forsaken vigil. three years each tour. hands of God enfold him. prayed mother of the war. haunt a doorway. beg a postman. is there word. for mother the war. 5 black stars. in bitter defiance. she's spitting the corps. wet a brood. short league for combat. my mother the war. well acquainted. with sorrow. with grief. my mother the war. folded lace. carrion and. blood soaked robes. folded lace. carrion. blood soaked. shroud. my mother the war,ENGLISH,134
"[ Jerome Augustyniak/Natalie Merchant ]. . Big plans are being made for my sisters wedding day.. We'll have a ball at the Sons of Roma Hall.. Family, friends come one and all.. First the best man makes a toast to Rocky and my sister Rose,. ""A life of years free of tears. Bottoms up and lots of luck!"". `. Polka, tango everyone, cha-cha, mambo Rose and Rock alone.. Frankie Rizzo and his Combo play on.. Single girls all hear the call from a crowd at the back wall. and when the bouquet flies each one tries to be the best catch and next years bride.. Uncle Sam and Uncle Joe take their places in the row.. They're standing by side to side for dollar dances with the bride.. Polka, tango everyone, cha-cha, mambo, Rose and Rock alone.. ""He's a banker, she'll be well off now."". Sister Rose take your mother's place.. Trade your home and your maiden name.. For a list of vows and a veil of lace made a wife of you today.. Now they cut the five tier cake, ""That Colucci, he can bake."". A frosted tower of sugar and flour for the couple of the hour.. Polka, tango everyone, cha-cha, mambo Rose and Rock alone.. She was born to wear that gown.. Sister Rose take your mother's place.. Trade your home and your maiden name.. For a list of vows and a veil of lace made a wife of you today,. but you're my sister Rose the same..",ENGLISH,251
Honor salute and speak. To the corner standing flag. Do you remember how the days of school were. Indivisible separate worlds. Compare contrast. These dreams absurd. Placid classroom faces. Breathe in the features. Of a demographics death map trilogy. Children read them well. Not to bury 3 of 4 sons. As the likes of chivalry. Not to take 6 of 30 bills. To manufacture Corpus Christi. And so you think it can be so serene. History's most intolerable famine. Has clutched our global tranquility. Reaped the lives of children. Maladies collaborate. With cyclic despair. Infanticide clamors to 20 times more. In 4th and 5th Worlds. The poor have always been. Beside us. Amid us. Death has always been. As million cease 15 million that's an annual reap. Add divide multiply sum 41 thousand!,ENGLISH,133
". You win a prize for that, for telling lies like that so well that I. believed it. I never felt cheated. You were the chosen one, the pure. eyes. of Noah's dove. Choir boys and angles stole your lips and your halo.. In your reckless mind, you act as if you've got more lives. In your. reckless eyes, you only have time and your love of danger -- to it. your no. stranger.. In that August breeze of those forgotten trees, your time was set for. leaving, come a colder season. In your reckless mind, you act as if. you've. got more lives. In your reckless eyes, it's never too late for a. chance to. seize some final breath of freedom. Very, so very wise. Don't reveal. it.. I'm tired, tired of knowing where it is you're going.. In your reckless mind, you act as if you've got more lives. In your. reckless eyes, you only have time and your love of danger -- to it. you're. no stranger.. In your reckless mind, you act as if you've got more lives. In your. reckless eyes, it's never too late for a chance to seize some final. breath. of freedom..",ENGLISH,200
"Out through the foggy window there just to see the eyes of my future children. looking back at me back through the foggy window. on and on miles pass years turn over. on and on there from that rolled down window ponies run free. cradled protectively there in the greenery somewhere I keep this picture. on and on miles pass years turn over. on and on for all the roads we've travelled. and all the bridges burned I was thinking out loud the ways. of the world that all seem so constant how few. of the lessons we really have learned.. out through the foggy window frozen in frame capturing passing pictures. life's last refrain, memories ashes scatter. on and on miles pass years turn over. on and on",ENGLISH,129
"Music by 10,000 Maniacs - Lyrics by Mary Ramsey & John Lombardo. This was once a city. harmony a common theme. but these complications. now make life a bit uneasy. hallowed buildings scrape the sky. voices ride the airwaves. once a city years gone by. will they still be standing in thecenturies ahead. going underground little children hiding,. bullets never meant for them. must there be such bloodshed in our hearts, our homes, ourheads?. will I be walking, walking so free?. this was a city once. this was once a city. harmony a common theme but these complications. once a city, once a dream..",ENGLISH,104
Lineage closed. Dissolved In its birth. Tragedy. Prelude a balance Is a synergy. Of reason. Malicious hope. As techno atrocities. Lapse their effects. Associate these ends. Their clarity. Demands your revenge. Please compensate. Not. Deny. Jungle. Revenge. Infanticide. Crosses. Very thin walls. Latent casualties. Arrive. From fatal initiation. No longer recessive. Genetic aliens abandoned. Plain deceit. IN the mirage of. A just one time cause. We'd all changed. The clocks. No ladies auxiliary to kiss. Their blistered cheeks. Gone,ENGLISH,79
"[ Billy Bragg and Natalie Merchant ]. . In a busy street. A man sits down. Oblivious to the traffic sounds. No chaos. No frenzied shrieking crowd. Thank God their silence. Walking heads bent down. Come when they saw us. Called it lethargy. The treadmill turns. There down below their feet. Should I pray for an end to come. Quickly (quickly), quickly (quickly). Or cross the waves of an angry sea. Risking (risking). And braving (braving). The shipwreck and the mutiny assailing. Assailing. In a haunted doorway. And from the light of day. See another life fall to ruin in pain. False smiles from even children it seems. Landlocked ground for empty and lost dreams. A league against me. I hear him say. It's not worth half the effort. Or the price you pay. Should I pray for an end to come. Quickly (quickly), quickly (quickly). Or should I raise my face to the heavens above. And tell God (dear God). Stop jeering (and jeering). As our human frailties and all. Our failings. Are we failing?. Pound pound on an endless street. Again and again the nightmare scene. All strained against the tightened rope. Not one with a lasting lingering hope. There's evidence everywhere you see. Put a quarter down at the newsstand. So that you can read. Should I pray for an end to come. Quickly (quickly), quickly (quickly). Or should I raise my face to the clouds above. Entreating (entreating). Their mercy (some mercy). But as clouds will do. They'll rain down. First gently (gently) and sweetly (so sweetly). Until they silence me. With a burst of thunder (thunder) and lightning (and lightning). And helpless landlocked screaming. I know God must be agreeing. It's the worst part of watching. It's the worst part of watching. It's the worst part of watching. It's the worst part. Landlocked in screaming. God must be agreeing. To be helpless is the worst. Must be the worst part of watching. The worst part of watching.",ENGLISH,332
"[ Cat Stevens ]. . [ Banned from later U.S. copies of In My Tribe due to Cat Stevens' agreement to the fatwah issued against Salman Rushdie ]. Now I've been happy lately, thinking about the good things to come. And I believe it could be, something good has begun. Oh I've been smiling lately, dreaming about the world as one. And I believe it could be, some day it's going to come. Cos out on the edge of darkness, there rides a peace train. Oh peace train take this country, come take me home again. Now I've been smiling lately, thinking about the good things to come. And I believe it could be, something good has begun. Oh peace train sounding louder. Glide on the peace train oh ah ee ah oh ah. Come on now peace train. Yes, peace train holy roller. Everyone jump on the peace train oh ah ee ah oh ah. Come on now peace train. Get your bags together, go bring your good friends too. Cos it's getting nearer, it soon will be with you. Now come and join the living, it's not so far from you. And it's getting nearer, soon it will all be true. Oh peace train sounding louder. Glide on the peace train oh ah ee ah oh ah. Come on now peace train, peace train. Now I've been crying lately, thinking about the world as it is. Why must we go on hating, why can't we live in bliss. Cos out on the edge of darkness, there rides a peace train. Oh peace train take this country, come take me home again. Oh peace train sounding louder. Glide on the peace train oh ah ee ah oh ah. Come on now the peace train. Yes peace train holy roller. Everyone jump on the peace train oh ah ee ah oh ah. Come on, come on, come on. Yes come on peace train. Yes it's the peace train. Oh ah ee ah oh ah. Come on now peace train. Oh peace train.",ENGLISH,342
"I found this photograph. Underneath the broken picture glass. Tender face of black and white. Beautiful, a haunting sight. Looked into an angel’s smile. Captivated all the while. From the hair and clothes she wore. I’d place her in between the wars. Was she willing when she sat. And posed the pretty photograph?. Save her flowering and fair. The days to come, the days to share. A big smile for the camera. How did she know?. The moment could be lost forever. Forever more. I found this photograph. Stashed between the old joist walls. In a place where time is lost. Lost behind, where all things fall. Broken books and calendars. Letters script in careful hand. Music too, a standard tune by. Some forgotten big brass band. From the threshhold what’s to see. Of our brave new century?. The television’s just a dream. The radio, the silver screen. A big smile for the camera. How did she know?. The moment could be lost forever. Forever more. Was her childhood filled with rhymes. Stolen hooks, impassioned crimes?. Was she innocent or blind. To the cruelty of her time?. Was she fearful in her day. Was she hopeful, did she pray?. Were there skeletons inside. Family secrets, sworn to hide?. Did she feel the heat that stirs. The fall from grace of wayward girls?. Was she tempted to pretend. The love and laughter, ’til the end?",ENGLISH,234
in the cruel garrison of affection. if worth of lore is true. you know the face of a temptress. pit viper. a witch or enchantress. pit viper. with the malign venom of conceit. she tries. civil men. conceal fear. misgivings. when night entreats them. a greater chill sustains. stains her. darkness. shall not inhibit death blow. know this skin does not restrict her. tear and shed the coil. fall of garland leaves. below the soil,ENGLISH,75
[ music: Dennis Drew/lyric: Natalie Merchant ]. . science. is truth for life. watch religion fall obsolete. science. will be truth for life. technology as nature. science. truth for life. in fortran tongue the. answer. with wealth and prominence. man so near perfection. possession. it's an absence of interim. secure no demurrer. defense against divine. defense against his true. image. human conflict number five. discovery. dissolved all illusion. mystery. destroyed with conclusion. and illusion never restored. any modern man can see. that religion is. obsolete. piety. obsolete. ritual. obsolete. martyrdom. obsolete. prophetic vision. obsolete. mysticism. obsolete. commitment. obsolete. sacrament. obsolete. revelation. obsolete.,ENGLISH,102
"""Mercy, mercy,"" why didn't we hear it?. ""Mercy, mercy,"" why did we read it buried on the last page of our morning. papers?. The plan was drafted, drafted in secret.. Gunboats met the red tide, driven to the rum trade for the army that they. created.. But the bullets were bought by us, it was dollars that paid them.. Please forgive us, we don't know what was done,. Please forgive us, we don't know what was done in our name.. There'll be more trials like this in mercenary heydays.. When they're so apt to wrap themselves up in the stripes and stars and find that. they are able to call themselves heroes and to justify murder by their fighters. for freedom.. Please forgive us, we don't know what was done.. Please forgive us, we didn't know.. Could you ever forgive us? I don't know how you could.. I know this is no consolation.. Please forgive us, we don't know what was done,. Please forgive us, we didn't know.. Could you ever believe that we didn't know?. Please forgive us, we didn't know.. I wouldn't blame you if you never could.. Please forgive us, we didn't know.. I wouldn't blame you if you never could.. Please forgive us, and you never will..",ENGLISH,211
"[ music: Dennis Drew/words: Natalie Merchant ]. . Tell me what's gone wrong.. I tilt my head there, under the faucet, but when I turn it on -- dry as paper.. Call the neighbors.. Who's to blame for what's going on?. In the dark without a clue I'm just the same as you.. O, they tell us there's poison in the well,. that someone's been a bit untidy and there's been a small spill.. Not a lot, no, just a drop.. But there you are mistaken, you know you are.. I wonder just how long they knew our well was poisoned but they let us just drink on.. O, they tell us there's poison in the well,. that someone's been a bit untidy and there's been a small spill.. All that it amounts to is a tear in a salted sea.. Someone's been a bit untidy, they'll have it cleaned up in a week.. But the week is over and now it's grown into years since I was told that I should be calm, there's nothing to fear here.. But I drank that water for years, my wife and my children.. Tell me, where to now, if your fight for a bearable life can be fought and lost in you backyard?. O, don't tell us there's poison in the well,. that someone's been a bit untidy, that there's been a small spill.. All that it amounts to is a tear in a salted sea.. Someone's been a bit untidy, they'll have it cleaned up in a week..",ENGLISH,257
"[ Lombardo/Merchant ]. . Oh my dear friend. My dear friend Giorgio. How has this time Breton. Discouraged your liaison with the. Eye styled metaphysical. Incongruous scenarios. Dauntly jaunt about through nostalgic despair. Within childlike renderings. Of a nightmarish recall. ""All my images Fragments. I've shored upon my ruins. Pictor classicus sum. I am pure"". Step solemn with the. Air of reluctant manes. As rod and hoop shadow children. Scatter through a henna arcade. Figures indentured to a windless landscape. Enduring silence and flame. Da Da da. No loyalty to the nonsensical. Scorned their nihilist pageantry.",ENGLISH,96
"On bended kneeI've looked through every window then.. Touched the bottom, the night a sleepless day instead. A day when love came,came easy like what's lost now found.. Beneath a blinding light that would surround.. We were without, in doubt. We were about saving for a rainy day.. I crashed through mirrors,. I crashed through floors of laughter then.. In a blind scene, no ties would moor us to this room.. A day when love came, came easy like what's lost now found.. And you would save me, and I held you like you were my child.. If I were you, defiant you, alone upon a troubled way.. I would send my heart to you. To save it for a rainy day..",ENGLISH,122
A woman of beauty. A woman of pain. In france or jakarta. Her shadow’s the same. Chorus:. You go home with sally ann. You go home with sally ann. You go home. A woman of kindness. With bracelets of jade. In china or japan. Her choices are made. Chorus. A woman of chances. No family or friends. In argentina. She knows only men. Chorus. A woman of color. Debts to be paid. In trenton or detroit. She lives by the blade,ENGLISH,81
power. dizzy with it stumble. detail. a chance for us to quarrel. anger. my head is shaken violent. if i could calm or restrain you. for the sake of pity. save the pistol. save the cynics tongue. save the cool white stare. and treat me to an honest face sometime. amaze me now. trust is. the greatest human error. empty. used me as a vessel. ruthless. you're not known for subtlety. if i could calm or restrain you. for the sake of pity. save the pistol. save the cynic's tongue. save the cool white stare. and treat me to an honest face sometime. amaze me now. artful. well there's quite a skill to torture. half smile. was it all you could deliver. token. so hard to be pleasant. if you could calm or restrain it. for the sake of pity. save the pistol. save the cynic's tongue. save the cool white stare. and treat me to an honest face sometime. amaze me now.,ENGLISH,163
"Something was pulling me without knowing what was leading me on:. your shining light.. In my darkest hour the only way to bring the dawn was your shining light.. But you're unaware your shining light is even on.. Like with a little glance when you take me by surprise. and I take a chance and see it all through your eyes.. Free me from my history and show me where to draw the line,. by lighting up the mystery,. and you don't even know that it shines.. I'm not worried now about flying too close to the sun.. When December skies are cold,. you know I will always run to your shining light.. I won't abuse it so please just let it glow behind your smile.. Let me use it,. let me feel the warmth like a little child who understands your glance,. though it takes me by surprise.. And I take a chance and I see it all through your eyes..",ENGLISH,162
"When the day ends and church bells are ringing. when the valley is shrouded in snow,. when you're feeling that hope somewhere vanished. and there's no poetry left to console you,. with the smallest step you'll find a way oh of fate borne. and life is a jewel but stone will tarnish as dust will descend take a minute. and wipe free the lustre,. it'll mirror a day without end with the smallest step you'll feel. it starts a journey your way.. oh they tried to tell me but I'll learn for myself. and when they tried to tell me you know the words disappeared. on the wind I was running away. and when the laughter echoes through you in a pale beaming ray. and you'll know always and ever within you anyway",ENGLISH,133
There like a feather you fell someone's heaven above me floating. so fickle tempting me teasing my ways thrown from. its clutches I struggle to free what escapes me. Absalom hanging like you I'm caught in between heaven. then earth then heaven between you release me untangle my hair. Absalom hanging like you I'm caught in between heaven. then earth heaven between you patient I wait. as I hold a small feather that floated from somebody's heaven,ENGLISH,77
"[ David Bowie ]. . Didn't know what time it was, the lights were low. I leaned back on my radio. Some cat was layin' down some rock'n'roll lotta soul, he said. Then the loud sound did seem to fade. Came back like a slow voice on a wave of phase. That weren't no D.J. that was hazy cosmic jive. CHORUS. There's a starman waiting in the sky. He'd like to come and meet us. But he thinks he'd blow our minds. There's a starman waiting in the sky. He told us not to blow it. 'Cause he knows it's all worthwhile. He told me:. Let the children lose it. Let the children use it. Let all the children boogie. I had to phone someone so I picked on you. Hey, that's far out so you heard him too!. Switch on the TV we may pick him up on channel two. Look out your window I can see his light. If we can sparkle he may land tonight. Don't tell your poppa or he'll get us locked up in fright. CHORUS (2*).",ENGLISH,182
"That summer fields grew high with foxglove stalks and ivy.. Wild apple blossoms everywhere.. Emerald green like none I have seen apart from dreams that escape me.. There was no girl as warm as you.. How I've learned to please, to doubt myself in need,. you'll never, you'll never know.. That summer fields grow high.. We made garland crowns in hiding, pulled stems of flowers from my hair.. Blue in the stream like none I have seen apart from dreams that escape me.. There was no girl as bold as you.. How I've learned to please, to doubt myself in need,. you'll never, you'll never know.. You'll never know.. Violet serene like none I have seen apart from dreams that escape me.. There was no girl as warm as you.. How I've learned to please, to doubt myself in need.. You'll never, you'll never know.. You'll never know.. That summer fields grow high.. We had wildflower fever. We had to lay down where they grow.. How I've learned to hide, how I've locked inside, you'd be surprised if shown.. But you'll never, you'll never know..",ENGLISH,185
Frail hinges pivot. On a case's door. Commemorative. Souvenirs from places. Containers change with occasion. Cellophane encased. Displaying paper. Certificate. Credit years of service. A tool of central enterprises. The early hope. For permanence. The words the rings. Consistency. And. Social security. The miracles high tragedy. A thought mistaken for a memory. Dress lengths assassinations. Fractured family ties and christenings. Local posts will list your friends. In order of disappearance. Lawn scattered tins feed birds. The portion baked. For absent guests. The mass edition icon. God sent comfort. Your salvation. But who grants absolution. For sins that never were committed. Tension makes a tangle. Of each thought becomes. Inconvenience. Sound never penetrates. The servile edges break and faint. A thought mistaken for a memory. Clear the dust. From smiles in boxes. Pass the patterned wall. Recall their voices,ENGLISH,138
as frail hinges. pivot on a case's door. commemorative. souvenirs from places. containers change. with each occasion. a cellophane encased. display of paper. certificate. to credit years of service. a tool of central enterprises. the early hope. for permanence. the words. the rings. consistency. the social security. a miracle is high tragedy. thought mistaken. for a memory. clear the dust from. smiles in boxes. pass a patterned wall. recall their voices. a local post. will list your friends. in order of. disappearance. the lawn scattered. tins feed birds. a portion baked for. absent guests. and the mass edition icon. God sent comfort. your salvation. but who grants absolution. for sins that. never were committed. tension makes a tangle. of each thought. becomes an inconvenience. sound as it never penetrates. as servile edges. break and. feint. thought mistaken. for a memory. a dress length. assassination. a fractured family tie. another christening. christening. christening. christening,ENGLISH,153
"[ music: Jerome Augustyniak/words: Natalie Merchant ]. . Detroit to D.C. night train, Capitol, parts East.. Lone young man takes a seat.. And by the rhythm of the rails, reading all his mother's mail from a city boy in a jungle town postmarked Saigon.. He'll go live his mother's dream, join the slowest parade he'll ever see.. Her weight of sorrows carried long and carried far.. ""Take these, Tommy, to The Wall."". Metro line to the Mall site with a tour of Japanese.. He's wandering and lost until a vet in worn fatigues takes him down to where they belong.. Near a soldier, an ex-Marine with a tattooed dagger and eagle trembling, he bites his lip beside a widow breaking down.. She takes her Purple Heart, makes a fist, strikes The Wall.. All come to live a dream, to join the slowest parade they'll ever see.. Their weight of sorrows carried long and carried far, taken to The Wall.. It's 40 paces to the year that he was slain.. His hand's slipping down The Wall for it's slick with rain.. How would life have ever been the same if this wall had carved in it one less name?. But for Christ's sake, he's been dead over 20 years.. He leaves the letters asking, ""Who caused my mother's tears, was it Washington or the Viet Cong?"". Slow deliberate steps are involved.. He takes them away from the black granite wall toward the other monuments so white and clean.. O, Potomac, what you've seen.. Abraham had his war too, but an honest war.. Or so it's taught in school..",ENGLISH,267
"here is the store house of Her Majesty. well guarded by sentry. but looks are free. call this the rayless and benighted age. witches by tallow candles shifted. shifted their shapes. here is the pestle and mortar. that ground the poison seed. a lute, a suit for jousting. and the poems of a balladeer. when all the Latin books were copied off. in golden script. well hoarded away in. a monastery crypt. superstition. superstition beyond belief. over mountain, over dune and over sea. crude map and compass lead the caravan. and lead the fleet. here's the loot and plunder. they bore home. ivory tusk inlaid with precious stone. raw silk and spices by the barrel load. a soft skin drum with mallets. of human bone. a world wide rampage. rampage of greed. so here the tour concludes. The Colonial Wing. the rooms of the most refined. museum property. an early pair of spectacles. a claw footed divan. ornate clocks with birds that strut. on the half hours and quarter hours. hear them chime",ENGLISH,173
"Detroit, l.a.,boston, san francisco,. First time over the ocean on a plane. A billion stars below me lay,. Circle slowly jfk,. So much there to see inside of a week. They came looking for something new. Try to press it flat inside of a few days. Old dominion saturday, arlington's eternal flame. Sunday tour niagara falls in the mist.. Monday I'll be heading south. New orleans the cajun sound. Tuesday's tupelo elvis's home . .. Try to press it flat inside of a few days. What a wonderful stay,. On a mule grand canyon ride on wednesday,. Hope to get to denver in a day friday. Ride to washington, in the glacial mountain sun. Hop a train for canada to the east. They came looking for something new. Try to press it flat inside of a few days. What a wonderful stay.",ENGLISH,142
Bent double like old beggars in sacks. Knockkneed and cursing or coughing like hags. Men marched on sleeping some without boots. Fatigue drunken deaf still to the hoots. Of breaking gas shells. Dropping softly behind. But limped on bloodshod. All went lame all went blind. Gas quick boys fumbling helmets in time. Someone still screaming a man in fire or lime. Under a grey cloud dim dark through green light. In all my dreaming before my helpless sight. He plunges at me. Choking guttering drowning. Put in a wagon he had to keep pace. As his eyes melt to his face. If you could hear blood. Gurgling from ruptured lungs. If you could witness. Vile sores on innocent tongues. You would not tell me. Not with such pride and such zest. The lies of history. Dulce et decorum est. Pro patria mori. Some desperate glory. Pro patria mori. As witness disturbs the story. Pro patria mori. Stand firm boys breathe the glory,ENGLISH,162
"[ music: Natalie Merchant & Dennis Drew/words: Natalie Merchant ]. . Can I be unhappy?. Look at what I see: a beast in furs and crowned in luxury.. He's a wealthy man in the poorest land, a self-appointed king,. and there's no complaining while he's reigning.. The lambs are bare of fleece and cold; the lion has stolen that, I'm told.. There must be some creature mighty as you are.. The lambs go hungry (not fair), the biggest portion is the lion's share.. There must be some creature mighty as you are.. Can I be unhappy?. Listen and agree, no words can shame him or tame him.. The lambs are bare of fleece and cold; the lion has stolen that, I'm told.. There must be some creature mighty as you are.. The lambs go hungry (not fair), the biggest portion is the lion's share.. There must be some creature mighty as you are, as you are.. Razor claws in velvet paws, you dunce in your guarded home,. 'til a stronger beast will call on you and pounce upon your throne.. Do we pay? Dearly, for the lion takes so greedily. and he knows that what he's taken, it is ours.. That's how the wealth's divided among the lambs and king of the beasts, it is so one-sided.. Until the lamb is king of the beasts we live so one-sided..",ENGLISH,229
"The Painted Desert can wait till summer.. We've played this game of just imagine long enough.. Wait till summer?. When I'm sure the rains have ended, the blooms have gone,. everyone killed by the morning frost.. Is a cactus blooming there in every roadside stand. where the big deal is cowboy gear won in Japan?. The Painted Desert can wait till summer.. We've played this game of just imagine long enough.. Wait till summer?. When I'm sure the rains have ended and the blooms have gone,. everyone killed by the morning frost.. Is a cactus blooming there upon the Northern rim. or in the ruins of the Hopi mesa dens?. You met a new friend in the Canyon, or so you wrote.. On a blanket in the cooling sand you and your friend agreed that. the stars were so many there they seemed to overlap.. The Painted Desert can wait till summer.. We've played this game of just imagine long enough.. Wait till summer?. When I am sure the rain has ended, the blooms have gone,. everyone killed by the morning frost.. Was a cactus blooming there as you watched the Native boy?. In Flagstaff trailer court, you wrote the line:. ""He kicked a tumbleweed and his mother called. him home where the Arizona moon met the Arizona sun."". I wanted to be there by May at the latest time.. Isn't that the plan we had or have you changed your mind?. I haven't read a word from you since Phoenix or Tucson.. April is over will you tell me how long before I can be there?.",ENGLISH,267
"These are. These are days you'll remember. Never before and never since, I promise. Will the whole world be warm as this. And as you feel it,. You'll know it's true. That you - you are blessed and lucky. It's true - that you. Are touched by something. That will grow and bloom in you. These are days you'll remember. When May is rushing over you. With desire to be part of the miracles. You see in every hour. You'll know it's true. That you are blessed and lucky. It's true that you are touched. By something that will grow and bloom in you. These are days. These are the days you might fill. With laughter until you break. These days you might feel. A shaft of light. Make its way across your face. And when you do. You'll know how it was meant to be. See the signs and know their meaning. You'll know how it was meant to be. Hear the signs and know they're speaking. To you, to you",ENGLISH,172
"[ Jackson Browne ]. . I've been out walking. I don't do too much talking these days. these days, these days I seem to think a lot. about the things that I forgot to do for you. and all the times I had the chance to. I had a lover. well I don't think I'll risk another these days. these days if I seem to be afraid to live the life. that I had made in song. well it's just, it's just that I've been losing so long. looong...well..... I stop my dreaming. I won't do too much scheming these days. these days, these days I sit on cornerstones. and count the time quarter to's 'til ten, my friend. please don't confront me with my failures. I have not forgotten them.",ENGLISH,131
"I saw time turn so much there to unlearn,. you were envy you wouldn't say you tore heart strings. that sorry day dark light hid the tears one for each of the years. love has reasons reason never knows. time turns over love overflows I should have spoken sooner. on that sorry day your arms are open. and I wondered why. wondered why. five years passed to the day time heals some people say. when you hurt the ones I love you're also hurting me. and time turns over turning you from me I thought you'd never reach me. on that sorry day your arms were open wide and I wondered why",ENGLISH,112
"[original version by Lulu]. Those schoolgirl days of telling tales and biting nails are gone. But in my mind I know they will still live on and on. But how do you thank someone who has taken you from crayons to. perfume?. It isn't easy but I'll try. If you wanted the sky I would write across the sky. In letters that would soar a thousand feet high. To Sir, With Love. The time has come for closing books and long last looks must end. And as I leave, I know that I am leaving my best friend. A friend who taught me right from wrong and weak from strong. That's a lot to learn - what can I give you in return?. If you wanted the moon I would try to make a start. But I would rather you let me give my heart. To Sir, With Love. Those awkward years have hurried by - why do they fly away?. Why is it, sir, that children grow up to be people one day?. What takes the place of climbing trees and dirty knees in the world. outside?. What is there for you I can buy?. If you wanted the world I'd surround it with a wall. I'd scrawl in words with letters ten feet tall. To Sir, With Love.",ENGLISH,220
