lyrics,song_name
"Do it good, do it good.Do it good, do it good.Do it good, do it good.Do it good, do it good..If you want to kiss a funky beagle.Hitch a ride upon an eagle.Read a catalog from Spiegel.Go on and do it, do it, do it.Go on and do it, do it, do it.Hey, do it, do it to it.But do it good..If you read the album cover by now.You know that my name is what my name is.When I came in here to try and.Do this, something I've never done before.Mr. Jones, Booker T., said to me.Don't worry about it.Just do what you do.And do it good.Do it good, do it good.Do it good, do it good.Ah, fish was made for hookin'.And grits was made for cookin'.And eyes were made for lookin'.Go on and do it, do it, do it.Go on and do it, do it, do it.Hey, do it, do it to it.But do it good..Do it good, do it good.Do it good, do it good.Do it good, do it good.Do it good, do it good.Do it good, do it good.Do it good, do it good.Do it good, do it good",Do It Good
"In a room with soft satin pillows.Cracklin' fireplace keeps us warm.Whisperin' wind through weepin' willows.And sweet Wanomi restin' in my arms.In a soft light her eyes are gleamin'.Pretty little hand covers up her mouth when she yawns.Wake me up, I must be dreamin' that.Sweet Wanomi restin' in my arms.Sleepy kisses, warm me softly.Get much warmer later on.I reach for the light, and turn it off.Uh-huh, sweet Wanomi restin' in my arms...Sleepy kisses, warm me softly.Get much warmer later on.I reach for the light, and turn it off.Uh-huh, sweet Wanomi restin' in my arms..Sweet Wanomi restin' in my arms.Sweet Wanomi restin' in my arms.Sweet Wanomi restin' in my arms.Sweet Wanomi restin' in my arms.Sweet Wanomi restin' in my arms",Sweet Wanomi
"Make a smile for me.Lately I've been so lonely.And a smile from you.Might make these blues go away.Stay awhile with me.Can't you tell I've been lonely.And a smile from you.Might make it a nicer day..Close your eyes and dream of a sunny place.Watch the world light up when you smile.Stay with me and smile at me, sunny face.Chase the clouds away with your smile..Make a smile for me.Lately I've been so lonely.And a smile from you.Might make these blues go away.Stay awhile with me.Can't you tell I've been lonely.And a smile from you.Might make it a nicer day.Close your eyes and dream of a sunny place.Watch the world light up when you smile.Stay with me and smile at me, sunny face.Chase the clouds away with your smile..Your smile, your smile.Your smile",Make A Smile For Me
"La, lala, lala..I only want to love you.Please don't push me away.Let me in your life.I wasn't there when he hurt you.So why should I have to pay?.Let me in your life..I want to share your tomorrow.So I must beg you today.If he's the cause of your sorrow.Be glad that he's gone away..I need someone, let me love you.Please don't push me away.Let me in your life..La, lala, lala.La, lala, lala",Let Me in Your Life
"Verse 1:.How do you do, Lucy?.You sure been hard to find.I heard you had a daughter.Six years old and.I just can't keep from cry'n'.Six years Lucy, Lord have mercy.That's a long time, that's a long time.Is she pretty, has she grown?.Does she sleep well in a room of her own?.Can I see her?.Does she know that I'm her daddy, I'm her daddy?.Did you give her one of my pictures?.Does she carry-yeh, a picture with her?.Does she show it to the baby sitter, and say.""See that man, that's my daddy, that's my daddy?"".You should 'a told me, Lucy, You should 'a told me, Lucy.Yeh, you should 'a told me, Lucy.Oh, Lucy. Oh, Lucy. Oh, Lucy. Oh, Lucy.You should 'a told me Lucy",I’m Her Daddy
"She couldn't stand me anymore.So she just took the kids and went.You see, I've got a drinkin' problem.All the money that we had I spent..Now I must die by my own hand.'Cause I'm not man enough to live alone.Hey, hey, she's better off without me.And I'm better off dead now that she's gone..She gave the most, took the least.And she even had the priest come to our home.And I cried and prayed and promised.That I'd leave the stuff alone..Now I must leave what I can't face.I hope she finds the kids a happy home.Hey, hey, she's better off without me.And I'm better off dead now that she's gone..She used to call her friend and cry.Then the man cut off the telephone.She'd sit and cry while I went out.And pawned the things we owned.Now I must die by my own hand.'Cause I'm not man enough to live alone.Hey, hey, she's better off without me.And I'm better off dead...",Better Off Dead
"You can live your life in a crowded city.You can walk along a crowded street.But the city really ain't no bigger.Than the friendly people, friendly people that you meet.You might be a sweet young, sweet young pretty, pretty.At the dances you can't keep your seat.But, if dances don't lead to romances.You might as well be born, be born with two left feet.You might be a sweet-toned sure ‘nuff high-class talker.You might be a stone, stone expert at kissing.But it don't do too much good to be talkin'.Brother, when there ain't no, ain't nobody listenin'.And if you are shy, just not much of a talker.Don't impress the people that you meet.You might as well be a lonely walker.In a lonely town, on a lonely street...","Lonely Town, Lonely Street"
"San Francisco morning coming clear and cold.Don't know if I'm waking or I'm dreaming.Riding with Fats Waller on the Super Chief.He said, music's real, the rest is seeming..Oh, he played.Feeling that won't go away.Left a sound of his soul in the air.I can hear it out there.And I know..He left those soul shadows.On my mind, on my mind, on my mind.He left those soul shadows.On my mind, on my mind, on my mind..Soul shadows.On my mind, on my mind, on my mind.Soul shadows.On my mind, on my mind, on my mind..Standing by the window as the fog rolls in.I swear I can hear a far-off music.Jelly Roll is playing down in Storyville.And Satchmo is wailing in Chicago.You oughta heard 'em play.Feelings that won't go away.Left the sound of their souls in the air.I can hear them out there and I know..They left them soul shadows all on my mind.On my mind, all on my mind.They left them soul shadows on my mind.On my mind, on my mind..They left soul shadows on my mind.They left them shadows on my mind.They left them soul on my mind.Oh, left them shadows on my mind",Soul Shadows
"Hello like before.I'd never come here.If I'd known that you were here.I must admit though.That's it's nice to see you, dear.You look like you've been doing well.Hello like before.I hope we've grown.'Cause we were only children then.For laughs I guess we both can say.'I knew you when'.But then again, that's kiss and tell.Hello like before.I guess it's different.'Cause we know each other now.I guess I've always known.We'd meet again somehow.So then it might as well be now...Hello like before.I hope we've grown.'Cause we were only children then.For laughs I guess we both can say.'I knew you when'.But then again, that's kiss and tell.Hello like before.I guess it's different.'Cause we know each other now.I guess I've always known.We'd meet again somehow.So then it might as well be now",Hello Like Before
"I wish you flowers, sunshine and smiles.I wish you children that grow to make you proud.I wish you pretty things to wear.Sweet things to smell..I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (Well)..I wish you good friends that always treat you fair.Wanna wish you ribbons to tie around your hair.I wish you truckloads of cheer and many happy years..I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (Well)..Wanna wish you freedom to do all the things you love.I wish you blessings and kindness from above.Wanna wish you sunlight through the clouds.Hope you laugh out loud.I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (Well)..I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (Well).Oh now, I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (Well).Oh now, I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (I wish you well).I wish you well (Well)",I Wish You Well
"Your love is like a a chunk of gold.Hard to gain, and hard to hold.Like a rose that's soft to touch.Love has gone, and it hurts so much..Well and why….Must the same love that made me laugh.Make me cry?..Well now, you think of love as sitting on a mountain.Think of it as being a great big rock.Won't you think before you started to roll it down.Because once you start it, you can't make it stop..I've given all I have to give.And if you don't want me.I don't want to live..Well and Why….Must the same love that made me laugh.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me lay in my pillow.And just cryin' like a weeping willow.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me mess u my pillow?.I'm just cryin' like a weeping willow.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?.Why you wanna make me cry?",The Same Love That Made Me Laugh
"I want to spend the night with you forever.Every time we wind up spending the night together.Do you ever feel it?..I want to share my life with you forever.Every time we wind up sharing a night together.Do you ever feel it?..When I stay away from you I never get to sleep.I try to hug my pillow and pretend that you're with me.But I can't feel a thing.When we are together it's right there for me to see.I can't keep looking at loneliness and try to call it freedom.Do you ever feel it?..I want to spend the night with you, girl, forever.Every time we wind up sharing a night together.Do you ever feel it?..Do you ever want to spend the night?.Do you ever want to spend the night?.Do you ever want to spend the night?.Do you ever want to spend the night?.Do you ever want to spend the night?",I Want to Spend the Night
"Harry Truman, Doris Day.Red China, Johnnie Ray.South Pacific.Walter Winchell, Joe DiMaggio.Joe McCarthy, Richard Nixon.Studebaker, Television.North Korea, South Korea.Marilyn Monroe.Rosenbergs, H-Bomb.Sugar Ray, Panmunjom.Brando, The King And I,.And The Catcher In The Rye.Eisenhower, Vaccine.England's got a new queen.Marciano, Liberace.Santayana goodbye..We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.Joseph Stalin, Malenkov.Nasser and Prokofiev.Rockefeller, Campanella.Communist Bloc.Roy Cohn, Juan Peron.Toscanini, Dacron.Dien Bien Phu Falls, ""Rock Around the Clock"".Einstein, James Dean.Brooklyn's got a winning team.Davy Crockett, Peter Pan.Elvis Presley, Disneyland.Bardot, Budapest, Alabama, Khrushchev.Princess Grace, Peyton Place.Trouble in the Suez..We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.Little Rock, Pasternak.Mickey Mantle, Kerouac.Sputnik, Zhou En-lai.Bridge On The River Kwai.Lebanon, Charles de Gaulle.California baseball.Starkweather Homicide.Children of Thalidomide.Buddy Holly, Ben-Hur.Space Monkey, Mafia.Hula Hoops, Castro.Edsel is a no-go.U-2, Syngman Rhee.Payola and Kennedy.Chubby Checker, Psycho.Belgians in the Congo.We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.Hemingway, Eichmann.Stranger in a Strange Land.Dylan, Berlin, Bay of Pigs invasion.Lawrence of Arabia, British Beatlemania.Ole Miss, John Glenn.Liston beats Patterson.Pope Paul, Malcolm X, British Politician sex.J.F.K. blown away.What else do I have to say?..We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.Birth control, Ho Chi Minh.Richard Nixon back again.Moonshot, Woodstock.Watergate, punk rock.Begin, Reagan, Palestine.Terror on the airline.Ayatollahs in Iran.Russians in Afghanistan.Wheel of Fortune, Sally Ride.Heavy metal suicide.Foreign debts, homeless Vets.AIDS, crack, Bernie Goetz.Hypodermics on the shores.China's under martial law.Rock and Roller cola wars.I can't take it anymore..We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.But when we are gone.It will still burn on, and on.And on, and on..We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.We didn't start the fire.It was always burning.Since the world's been turning.We didn't start the fire.No, we didn't light it.But we tried to fight it.We didn't start the fire.It was always burning.Since the world's been turning",We Didn’t Start the Fire
"It's nine o'clock on a Saturday.The regular crowd shuffles in.There's an old man sittin' next to me.Makin' love to his tonic and gin.He says, ""Son, can you play me a memory?.I'm not really sure how it goes.But it's sad, and it's sweet, and I knew it complete.When I wore a younger man's clothes"".La, la-la, di-dee-da.La-la, di-dee-da, da-dum..Sing us a song, you're the piano man.Sing us a song tonight.Well, we're all in the mood for a melody.And you've got us feeling alright..Now John at the bar is a friend of mine.He gets me my drinks for free.And he's quick with a joke, or to light up your smoke.But there's someplace that he'd rather be.He says, ""Bill, I believe this is killing me"".As the smile ran away from his face.""Well I'm sure that I could be a movie star.If I could get out of this place"".Oh, la, la-la, di-dee-da.La-la, di-dee-da, da-dum..Now Paul is a real estate novelist.Who never had time for a wife.And he's talkin' with Davy, who's still in the Navy.And probably will be for life.And the waitress is practicing politics.As the businessmen slowly get stoned.Yes, they're sharing a drink they call loneliness.But it's better than drinkin' alone...Sing us a song, you're the piano man.Sing us a song tonight.Well, we're all in the mood for a melody.And you've got us feeling alright..It's a pretty good crowd for a Saturday.And the manager gives me a smile.'Cause he knows that it's me they've been comin' to see.To forget about life for a while.And the piano, it sounds like a carnival.And the microphone smells like a beer.And they sit at the bar and put bread in my jar.And say, ""Man, what are you doin' here?"".Oh, la, la-la, di-dee-da.La-la, di-dee-da, da-dum..Sing us a song, you're the piano man.Sing us a song tonight.Well, we're all in the mood for a melody.And you've got us feeling alright",Piano Man
"Slow down, you crazy child.You're so ambitious for a juvenile.But then if you're so smart.Tell me why are you still so afraid, hmm?.Where's the fire, what's the hurry about?.You'd better cool it off before you burn it out.You've got so much to do.And only so many hours in a day, ayy..But you know that when the truth is told.That you can get what you want.Or you can just get old.You're gonna.Kick off before you even get halfway through, ooh.When will you realize.Vienna waits for you?..Slow down, you're doin' fine.You can't be everything you wanna be.Before your time.Although it's so romantic.On the borderline tonight, tonight.Too bad but it's the life you lead.You're so ahead of yourself.That you forgot what you need.Though you can see when you're wrong.You know you can't always see when you're right.You're right.You've got your passion.You've got your pride.But don't you know.That only fools are satisfied?.Dream on.But don't imagine they'll all come true, ooh.When will you realize.Vienna waits for you?...Slow down, you crazy child.And take the phone off the hook.And disappear for a while.It's all right, you can afford.To lose a day or two, ooh.When will you realize.Vienna waits for you?..And you know that when the truth is told.That you can get what you want.Or you could just get old.You're gonna.Kick off before you even get halfway through, ooh.Why don't you realize.Vienna waits for you?.When will you realize.Vienna waits for you?",Vienna
"Uptown girl.She's been living in her uptown world.I bet she's never had a backstreet guy.I bet her momma never told her why.I'm gonna try for an..Uptown girl.She's been living in her white bread world.As long as anyone with hot blood can.And now she's looking for a downtown man.That's what I am..And when she knows what she wants from her time.And when she wakes up and makes up her mind..She'll see I'm not so tough.Just because I'm in love with an..Uptown girl.You know I've seen her in her uptown world.She's getting tired of her high class toys.And all the presents from her uptown boys.She's got a choice.Uptown girl.You know I can't afford to buy her pearls.But maybe someday when my ship comes in.She'll understand what kind of guy I've been.And then I'll win..And when she's walking, she's looking so fine.And when she's talking, she'll say that she's mine..She'll say I'm not so tough.Just because I'm in love with an..Uptown girl.She's been living in her white bread world.As long as anyone with hot blood can.And now she's looking for a downtown man.That's what I am..Uptown girl, she's my uptown girl.You know I'm in love with an uptown girl, my uptown girl.You know I'm in love with an uptown girl, my uptown girl.You know I'm in love with an uptown girl, my uptown girl.You know I'm in love with an uptown girl",Uptown Girl
"Dum dum dum..Whoa, oh, oh, oh (For the longest).For the longest time.Whoa, oh, oh (For the longest).For the longest time..If you said goodbye to me tonight.There would still be music left to write.What else could I do?.I'm so inspired by you.That hasn't happened for the longest time..Once I thought my innocence was gone.Now I know that happiness goes on.That's where you found me.When you put your arms around me.I haven't been there for the longest time..Whoa, oh, oh, oh (For the longest).For the longest time.Whoa, oh, oh (For the longest).For the longest.I'm that voice you're hearing in the hall.And the greatest miracle of all.Is how I need you.And how you needed me too.That hasn't happened for the longest time..Maybe this won't last very long.But you feel so right and I could be wrong.Maybe I've been hoping too hard.But I've gone this far and it's more than I hoped for..Who knows how much further we'll go on?.Maybe I'll be sorry when you're gone.I'll take my chances.I forgot how nice romance is.I haven't been there for the longest time..I had second thoughts at the start.I said to myself, ""Hold on to your heart"".Now I know the woman that you are.You're wonderful so far, and it's more than I hoped for.I don't care what consequence it brings.I have been a fool for lesser things.I want you so bad.I think you ought to know that.I intend to hold you for the longest time..Whoa, oh, oh, oh (For the longest).For the longest time.Whoa, oh, oh (For the longest).For the longest time.Whoa, oh, oh (For the longest).For the longest time.Whoa, oh, oh (For the longest).For the longest time.Whoa, oh, oh (For the longest).For the longest time...",The Longest Time
"She can kill with a smile.She can wound with her eyes.And she can ruin your faith with her casual lies.And she only reveals.What she wants you to see.She hides like a child.But she's always a woman to me..She can lead you to love.She can take you or leave you.She can ask for the truth.But she'll never believe you.And she'll take what you give her.As long as it's free.Yeah, she steals like a thief.But she's always a woman to me..Oh, she takes care of herself.She can wait if she wants.She's ahead of her time.Oh, and she never gives out.And she never gives in.She just changes her mind.And she'll promise you more.Than the Garden of Eden.Then she'll carelessly cut you.And laugh while you're bleedin'.But she'll bring out the best.And the worst you can be.Blame it all on yourself.Cause she's always a woman to me..Mmm mmm.Mmm mmm mmm mmm mm..Oh, she takes care of herself.She can wait if she wants.She's ahead of her time.Oh, and she never gives out.And she never gives in.She just changes her mind..She is frequently kind.And she's suddenly cruel.She can do as she pleases.She's nobody's fool.But she can't be convicted.She's earned her degree.And the most she will do.Is throw shadows at you.But she's always a woman to me.Mmm mm, mmm mm.Mmm mmm mmm mmm mmm",She’s Always a Woman
"Hoo ooh.Ohh ohh.Mmm mmm..Anthony works in the grocery store.Savin' his pennies for someday.Mama Leone left a note on the door.She said, ""Sonny, move out to the country"".Ah but workin' too hard can give you a heart attack.Ack-ack-ack-ack-ack..You oughta know by now.(You oughta know by now).Who needs a house out in Hackensack.Is that all you get for your money?..And it seems such a waste of time.If that's what it's all about.Mama, if that's movin' up then I'm.Movin' out.I'm movin' out, mmm mm.Ooh-ooh, uh-huh, mmm.Sergeant O'Leary is walkin' the beat.At night he becomes a bartender.He works at Mr. Cacciatore's.Down on Sullivan Street.Across from the medical center.Yeah, and he's tradin' in his Chevy.For a Cadillac-ac-ac-ac-ac-ac..You oughta know by now.(You oughta know by now).And if he can't drive with a broken back.At least he can polish the fenders..And it seems such a waste of time.If that's what it's all about.Mama, if that's movin' up then I'm movin' out.Mmm, I'm movin' out.Oh-ohh, ooh ooh, uh-huh, mmm..You should never argue.With a crazy mind-mind-mind-mind.You oughta know by now.(You oughta know by now).You can pay Uncle Sam with the overtime.Is that all you get for your money?..And if that's what you have in mind.Yeah, if that's what you're all about.Good luck movin' up, cause I'm movin' out.I'm movin' out..*Engine revs*.*Tires screech*.*Engine continues to rev*.*Tires continue to screech*.I'm movin' out!",Movin’ Out (Anthony’s Song)
"Don't go changin'.To try and please me.You never let me down before, mmm.Don't imagine.You're too familiar.And I don't see you anymore..I would not leave you.In times of trouble.We never could have come this far, mmm.I took the good times.I'll take the bad times.I'll take you just the way you are..Don't go tryin'.Some new fashion.Don't change the color of your hair, mmm mmm.You always have my.Unspoken passion.Although I might not seem to care..I don't want clever.Conversation.I never want to work that hard.I just want someone.That I can talk to.I want you just the way you are.I need to know that you will always be.The same old someone that I knew.Ahh, what will it take 'til you believe in me.The way that I believe in you..I said I love you.And that's forever.And this I promise from the heart, mmm mmm.I couldn't love you.Any better.I love you just the way you are.Right!..3:04 - 3:29..I don't want clever.Conversation.I never want to work that hard, mmm-mm.I just want someone.That I can talk to.I want you just the way you are, ohh",Just the Way You Are
"Come out Virginia, don't let me wait.You Catholic girls start much too late.Aw, but sooner or later.It comes down to fate.I might as well be the one..Well, they showed you a statue.Told you to pray.They built you a temple.And locked you away.Aw, but they never told you.The price that you pay.For things that you might have done..Well, only the good die young.That's what I said.Only the good die young.Only the good die young..You might-a heard.I run with a dangerous crowd.We ain't too pretty, we ain't too proud.We might be laughing a bit too loud.Aw, but that never hurt no one.So come on Virginia, show me a sign.Send up a signal, I'll throw you the line.The stained-glass curtain.You're hiding behind.Never lets in the sun..Darling only the good die young.Oh oh oh oh ohh.I tell ya only the good die young.Only the good die young..You got a nice white dress.And a party on your confirmation.You got a brand new soul.Mmm, and a cross of gold..But Virginia.They didn't give you quite enough information.You didn't count on me.When you were counting on your rosary..They say there's a heaven.For those who will wait.Some say it's better, but I say it ain't.I'd rather laugh with the sinners.Than cry with the saints.The sinners are much more fun.You know that only the good die young.Oh oh ohh baby.I tell ya only the good die young.Only the good die young..2:26 - 2:39..You said your mother told you.""All that I could give you was a reputation"".Aw, she never cared for me.But did she ever say a prayer for me?.Oh oh oh..Come out, come out, come out.Virginia, don't let me wait.You Catholic girls start much too late.But sooner or later.It comes down to fate.I might as well be the one..You know that only the good die young.Tell you baby.You know that only the good die young.Only the good die young.Only the good.Only the good die young.Ooh ooh oooh ooh.Ooh ooh ooh oooh ooh.Ooh ooh oooh ooh.Ooh ooh ooh oooh ooh.Ooh ooh oooh ooh.Ooh ooh ooh oooh ooh.Only the good die young.Only the good die young.Ooh ooh oooh ooh.Ooh ooh ooh oooh ooh",Only the Good Die Young
"A bottle of white, a bottle of red.Perhaps a bottle of rosé instead.We'll get a table near the street.In our old familiar place.You and I, face to face, mmm.A bottle of red, a bottle of white.It all depends upon your appetite.I'll meet you any time you want.In our Italian restaurant..Things are okay with me these days.Got a good job, got a good office.Got a new wife, got a new life.And the family is fine.Oh, lost touch long ago.You lost weight, I did not know.You could ever look so nice.After so much time..You remember those days.Hanging out at the Village Green?.Engineer boots, leather jackets.And tight blue jeans.Oh, you drop a dime in the box.Play the song about New Orleans.Cold beer, hot lights.My sweet romantic teenage nights..Brenda and Eddie were the popular steadies.And the king and the queen of the prom.Riding around with the car top down.And the radio on.Nobody looked any finer.Or was more of a hit at the Parkway Diner.We never knew we could want.More than that out of life.Surely Brenda and Eddie.Would always know how to survive..Brenda and Eddie were still going steady.In the summer of '75.When they decided their marriage.Should be at the end of July.Everyone said they were crazy.""Brenda you know that you're much too lazy.And Eddie could never afford.To live that kind of life."".Oh but there we were waving.Brenda and Eddie goodbye.Well, they got an apartment.With deep pile carpets.And a couple of paintings from Sears.A big waterbed that they.Bought with the bread.They had saved for a couple of years.They started to fight.When the money got tight.And they just didn't count on the tears..Yeah, rock and roll!..Well, they lived for a while in a very nice style.But it's always the same in the end.They got a divorce as a matter of course.And they parted the closest of friends.Then the king and the queen.Went back to the green.But you can never go back there again..Brenda and Eddie had had it already.By the summer of '75.From the high to the low.To the end of the show.For the rest of their lives.They couldn't go back to the Greasers.The best they could do.Was pick up their pieces.We always knew they would.Both find a way to get by.And that's all I heard about Brenda and Eddie.Can't tell you more 'cause I told you already.And here we are waving.Brenda and Eddie goodbye..Bottle of red, bottle of white.Whatever kind of mood you're in tonight.I'll meet you anytime you want.In our Italian restaurant",Scenes from an Italian Restaurant
"Some folks like to get away.Take a holiday from the neighborhood.Hop a flight to Miami Beach or to Hollywood.But I'm taking a Greyhound.On the Hudson River line.I'm in a New York state of mind..I've seen all the movie stars.In their fancy cars and their limousines.Been high in the Rockies.Under the evergreens.I know what I'm needing.And I don't want to waste more time.I'm in a New York state of mind..It was so easy living day by day.Out of touch with the rhythm and blues.But now I need a little give and take.The New York Times, the Daily News..It comes down to reality.And it's fine with me 'cause I've let it slide.I don't care if it's Chinatown or on Riverside.I don't have any reasons I left them all behind.I'm in a New York state of mind..It was so easy living day by day.Out of touch with the rhythm and blues.But now I need a little give and take.The New York Times, The Daily News..It comes down to reality.And it's fine with me 'cause I've let it slide.I don't care if it's Chinatown or on Riverside.I don't have any reasons I left them all behind.I'm in a New York state of mind..I'm just taking a Greyhound.On the Hudson River line.Because I'm in a, I'm in a New York.State of mind, yeah",New York State of Mind
"Got a call from an old friend, we used to be real close.Said he couldn't go on the American way.Closed the shop, sold the house, bought a ticket to the west coast.Now he gives them a stand-up routine in L.A..I don't need you to worry for me 'cause I'm alright.I don't want you to tell me it's time to come home.I don't care what you say anymore, this is my life.Go ahead with your own life, leave me alone..I never said you had to offer me a second chance.(I never said you had to...).I never said I was a victim of circumstance.(I never said...)..I still belong (Still belong).Don't get me wrong (Get me wrong).And you can speak your mind.But not on my time.They will tell you you can't sleep alone in a strange place.Then they'll tell you you can't sleep with somebody else.Ah, but sooner or later, you sleep in your own space.Either way, it's okay, you wake up with yourself..I don't need you to worry for me 'cause I'm alright.I don't want you to tell me it's time to come home.I don't care what you say anymore, this is my life.Go ahead with your own life, leave me alone..I never said you had to offer me a second chance.(I never said you had to...).I never said I was a victim of circumstance.(Of circumstance...)..I still belong (Still belong).Don't get me wrong (Get me wrong).And you can speak your mind.But not on my time..I don't care what you say anymore, this is my life.Go ahead with your own life, leave me alone.Keep it to yourself, it's my life.Keep it to yourself, it's my life.Keep it to yourself, it's my life.Keep it to yourself, it's my life...",My Life
"If you search for tenderness.It isn't hard to find.You can have the love you need to live.But if you look for truthfulness.You might just as well be blind.It always seems to be so hard to give..Honesty is such a lonely word.Everyone is so untrue.Honesty is hardly ever heard.And mostly what I need from you..I can always find someone.To say they sympathize.If I wear my heart out on my sleeve.But I don't want some pretty face.To tell me pretty lies.All I want is someone to believe..Honesty is such a lonely word.Everyone is so untrue.Honesty is hardly ever heard.And mostly what I need from you.I can find a lover.I can find a friend.I can have security.Until the bitter end.Anyone can comfort me.With promises again.I know, I know..When I'm deep inside of me.Don't be too concerned.I won't ask for nothin' while I'm gone.But when I want sincerity.Tell me where else can I turn.Cause you're the one that I depend upon..Honesty is such a lonely word.Everyone is so untrue.Honesty is hardly ever heard.And mostly what I need from you",Honesty
"Well, we all have a face.That we hide away forever.And we take them out and show ourselves.When everyone has gone.Some are satin, some are steel.Some are silk and some are leather.They're the faces of a stranger.But we'd love to try them on..Well, we all fall in love.But we disregard the danger.Though we share so many secrets.There are some we never tell.Why were you so surprised.That you never saw the stranger?.Did you ever let your lover.See the stranger in yourself?..Don't be afraid to try again.Everyone goes south every now and then.You've done it.Why can't someone else?.You should know by now.You've been there yourself.Once I used to believe.I was such a great romancer.Then I came home to a woman.That I could not recognize.When I pressed her for a reason.She refused to even answer.It was then I felt the stranger.Kick me right between the eyes..Well, we all fall in love.But we disregard the danger.Though we share so many secrets.There are some we never tell.Why were you so surprised.That you never saw the stranger?.Did you ever let your lover.See the stranger in yourself?..Don't be afraid to try again.Everyone goes south every now and then.You've done it.Why can't someone else?.You should know by now.You've been there yourself.You may never understand.How the stranger is inspired.But he isn't always evil.And he is not always wrong.Though you drown in good intentions.You will never quench the fire.You'll give in to your desire.When the stranger comes along.Ooo ooo.Ooh ooh",The Stranger
"We met as soul mates on Parris Island.We left as inmates from an asylum.And we were sharp, as sharp as knives.And we were so gung ho to lay down our lives..We came in spastic like tameless horses.We left in plastic as numbered corpses.And we learned fast to travel light.Our arms were heavy but our bellies were tight..We had no home front, we had no soft soap.They sent us Playboy, they gave us Bob Hope.We dug in deep and shot on sight.And prayed to Jesus Christ with all of our might..We had no cameras to shoot the landscape.We passed the hash pipe and played our Doors tapes.And it was dark, so dark at night.And we held on to each other like brother to brother.We promised our mothers we'd write.And we would all go down together.We said we'd all go down together.Yes, we would all go down together..Remember Charlie, remember Baker.They left their childhood on every acre.And who was wrong? And who was right?.It didn't matter in the thick of the fight..We held the day in the palm of our hands.They ruled the night, and the night.Seemed to last as long as six weeks.On Parris Island.We held the coastline, they held the highlands.And they were sharp, as sharp as knives.They heard the hum of our motors, they counted the rotors.And waited for us to arrive..And we would all go down together.We said we'd all go down together.Yes, we would all go down together",Goodnight Saigon
"What's the matter with.The clothes I'm wearing?.Can't you tell that your tie's too wide?.Maybe I should buy some.Old tab collars?.Welcome back to the age of jive.Where have you been.Hidin' out lately, honey?.You can't dress trashy.Till you spend a lot of money..Everybody's talkin' 'bout the new sound.Funny, but it's still rock and roll to me..What's the matter with the car I'm driving?.Can't you tell that it's out of style?.Should I get a set.Of whitewall tires?.Are you gonna cruise.The miracle mile?.Nowadays you can't be too sentimental.Your best bet's a true.Baby blue Continental.Hot funk, cool punk, even if it's old junk.It's still rock and roll to me..Oh, it doesn't matter.What they say in the papers.Cause it's always been the same old scene.There's a new band in town.But you can't get the sound.From a story in a magazine.Aimed at your average teen..How about a pair of pink sidewinders.And a bright orange pair of pants?.You could really be a Beau Brummel baby.If you just give it half a chance.Don't waste your money.On a new set of speakers.You get more mileage.From a cheap pair of sneakers..Next phase, new wave, dance craze, anyways.It's still rock and roll to me..What's the matter with the crowd I'm seeing?.Don't you know that they're out of touch?.Should I try to be a straight 'A' student?.If you are then you think too much.Don't you know about.The new fashion honey?.All you need are looks.And a whole lotta money..It's the next phase, new wave.Dance craze, anyways.It's still rock and roll to me..Everybody's talkin' 'bout the new sound.Funny, but it's still rock and roll to me",It’s Still Rock and Roll to Me
